branch_id,category,total_revenue,transaction_count,avg_revenue_per_transaction,avg_price,avg_qty,latitude,longitude,district,peak_month,first_sale_date,last_sale_date,monthly_revenue,operational_days,daily_revenue,transactions_per_day,competitor_count,nearby_avg_revenue,district_avg_revenue,district_median_revenue,district_branch_count,district_avg_competition,district_encoded,category_encoded
177,Thai Food,538030722.16,576,934081.114861111,104279.91368055556,3.4930555555555554,-6.21465276,106.82091144,Setia Budi,1,2024-01-02,2024-03-28,181973946.47278222,87,6184261.174252873,6.620689655172414,13,462819602.1419668,1564378617.563536,50088681.777777776,287,14.264808362369338,7,16
253,Breakfast and Egg Dishes,216204000.0,158,1368379.746835443,108936.70886075949,3.481012658227848,-6.24060142,106.85546635,Tebet,2,2024-01-11,2024-03-31,73124997.33333333,81,2669185.185185185,1.9506172839506173,5,7458545.712355556,2891856590.3908925,48860803.11988889,250,8.348,8,2
253,Cakes and Desserts,720000.0,6,120000.0,120000.0,1.0,-6.24060142,106.85546635,Tebet,2,2024-02-09,2024-03-07,243520.0,28,25714.285714285714,0.21428571428571427,2,332475458.17355555,2891856590.3908925,48860803.11988889,250,8.348,8,3
253,Comfort Food,185850000.0,270,688333.3333333334,84229.62962962964,2.6444444444444444,-6.24060142,106.85546635,Tebet,3,2024-01-09,2024-03-31,62858600.0,83,2239156.626506024,3.253012048192771,5,386997167.8508445,2891856590.3908925,48860803.11988889,250,8.348,8,6
253,Fried Food,206210000.0,282,731241.1347517731,68375.8865248227,2.3404255319148937,-6.24060142,106.85546635,Tebet,1,2024-01-10,2024-03-31,69744804.44444445,82,2514756.0975609757,3.4390243902439024,3,145005111.4074074,2891856590.3908925,48860803.11988889,250,8.348,8,7
253,Japanese Food,18260000.0,314,58152.86624203822,38343.949044585985,1.2420382165605095,-6.24060142,106.85546635,Tebet,3,2024-01-09,2024-03-31,6175937.777777778,83,220000.0,3.783132530120482,3,40742151.12011852,2891856590.3908925,48860803.11988889,250,8.348,8,9
253,Non-Food Items/ Event,170000.0,6,28333.333333333332,11666.666666666666,2.3333333333333335,-6.24060142,106.85546635,Tebet,2,2024-02-20,2024-03-05,57497.77777777778,15,11333.333333333334,0.4,4,1302512184.8288667,2891856590.3908925,48860803.11988889,250,8.348,8,10
253,Seafood,1260000.0,30,42000.0,34000.0,1.1333333333333333,-6.24060142,106.85546635,Tebet,1,2024-01-10,2024-03-09,426160.0,60,21000.0,0.5,3,51238195.20924444,2891856590.3908925,48860803.11988889,250,8.348,8,11
253,Steaks and BBQ,24390000.0,328,74359.75609756098,40213.41463414634,1.4573170731707317,-6.24060142,106.85546635,Tebet,3,2024-01-09,2024-03-31,8249240.0,83,293855.421686747,3.9518072289156625,5,98508862.89763555,2891856590.3908925,48860803.11988889,250,8.348,8,14
253,Tea and Beverages,69595000.0,492,141453.25203252034,50282.52032520325,1.7113821138211383,-6.24060142,106.85546635,Tebet,2,2024-01-09,2024-03-31,23538575.555555556,83,838493.9759036144,5.927710843373494,6,261812860.2654667,2891856590.3908925,48860803.11988889,250,8.348,8,15
253,Thai Food,23320000.0,182,128131.86813186813,51758.241758241755,1.6263736263736264,-6.24060142,106.85546635,Tebet,3,2024-01-11,2024-03-31,7887342.222222222,81,287901.23456790124,2.246913580246914,5,2670549131.5004444,2891856590.3908925,48860803.11988889,250,8.348,8,16
282,Alcoholic Beverages,26437950.0,238,111083.82352941176,54013.23529411765,1.5588235294117647,-6.25165608,106.79778522,Kebayoran Baru,1,2024-01-02,2024-03-29,8941902.200000001,88,300431.25,2.7045454545454546,9,914834627.3682046,6988304894.122244,173600655.97777778,487,9.043121149897331,2,0
282,Cakes and Desserts,3613995.0,84,43023.75,43023.75,1.0,-6.25165608,106.79778522,Kebayoran Baru,1,2024-01-10,2024-03-27,1222333.42,78,46333.269230769234,1.0769230769230769,7,2447928509.575084,6988304894.122244,173600655.97777778,487,9.043121149897331,2,3
282,Coffee,354325125.0,1225,289245.0,74151.0,2.2514285714285713,-6.25165608,106.79778522,Kebayoran Baru,1,2024-01-02,2024-03-30,119840631.16666667,89,3981181.179775281,13.764044943820224,10,32153675395.73994,6988304894.122244,173600655.97777778,487,9.043121149897331,2,5
282,Comfort Food,43052625.0,364,118276.44230769231,68389.32692307692,1.25,-6.25165608,106.79778522,Kebayoran Baru,1,2024-01-02,2024-03-27,14561354.5,86,500611.9186046512,4.232558139534884,10,1424681903.937305,6988304894.122244,173600655.97777778,487,9.043121149897331,2,6
282,Japanese Food,1617000.0,28,57750.0,57750.0,1.0,-6.25165608,106.79778522,Kebayoran Baru,2,2024-01-30,2024-03-29,546905.3333333334,60,26950.0,0.4666666666666667,9,394194783.9424284,6988304894.122244,173600655.97777778,487,9.043121149897331,2,9
282,Seafood,2829750.0,49,57750.0,57750.0,1.0,-6.25165608,106.79778522,Kebayoran Baru,1,2024-01-11,2024-02-11,957084.3333333334,32,88429.6875,1.53125,8,18699077235.026173,6988304894.122244,173600655.97777778,487,9.043121149897331,2,11
282,Set Meals and Combos,5885880.0,56,105105.0,75075.0,1.25,-6.25165608,106.79778522,Kebayoran Baru,2,2024-01-13,2024-03-02,1990735.4133333333,50,117717.6,1.12,11,523162675.6250296,6988304894.122244,173600655.97777778,487,9.043121149897331,2,12
282,Snacks and Appetizers,10348800.0,133,77810.52631578948,61397.36842105263,1.1578947368421053,-6.25165608,106.79778522,Kebayoran Baru,1,2024-01-03,2024-03-29,3500194.1333333333,87,118951.72413793103,1.528735632183908,8,9587352008.19427,6988304894.122244,173600655.97777778,487,9.043121149897331,2,13
282,Steaks and BBQ,14310450.0,126,113575.0,80208.33333333333,1.2777777777777777,-6.25165608,106.79778522,Kebayoran Baru,1,2024-01-10,2024-03-26,4840112.2,77,185850.0,1.6363636363636365,11,7870360093.44559,6988304894.122244,173600655.97777778,487,9.043121149897331,2,14
282,Tea and Beverages,223744290.0,2177,102776.4308681672,53107.71704180064,1.3858520900321543,-6.25165608,106.79778522,Kebayoran Baru,1,2024-01-02,2024-03-30,75675290.97333333,89,2513980.786516854,24.46067415730337,15,24558302491.248585,6988304894.122244,173600655.97777778,487,9.043121149897331,2,15
354,Breakfast and Egg Dishes,1234420.0,30,41147.333333333336,38214.0,1.0666666666666667,-6.2445962,106.7840087,Kebayoran Lama,1,2024-01-01,2024-03-30,417508.2755555556,90,13715.777777777777,0.3333333333333333,7,205289693.92126894,1103857680.9438338,23922442.821591113,315,8.238095238095237,3,2
354,Chinese Food,4045346931.78,2164,1869383.9795656193,148899.1670392791,3.3840110905730127,-6.2445962,106.7840087,Kebayoran Lama,1,2024-01-01,2024-03-31,1368226228.92648,91,44454361.88769231,23.78021978021978,5,324370132.78976244,1103857680.9438338,23922442.821591113,315,8.238095238095237,3,4
354,Comfort Food,231409530.0,138,1676880.652173913,212170.86956521738,4.318840579710145,-6.2445962,106.7840087,Kebayoran Lama,3,2024-01-01,2024-03-31,78267845.48,91,2542961.868131868,1.5164835164835164,8,646445420.9888921,1103857680.9438338,23922442.821591113,315,8.238095238095237,3,6
354,Fried Food,772872157.2,206,3751806.5883495146,178214.1985436893,9.902912621359222,-6.2445962,106.7840087,Kebayoran Lama,1,2024-01-01,2024-03-31,261402538.5018667,91,8493100.628571428,2.2637362637362637,2,29978400.906444445,1103857680.9438338,23922442.821591113,315,8.238095238095237,3,7
354,Japanese Food,70729955.78,90,785888.3975555556,127539.92655555556,4.444444444444445,-6.2445962,106.7840087,Kebayoran Lama,1,2024-01-01,2024-03-31,23922442.821591113,91,777252.2613186813,0.989010989010989,10,4704724121.045638,1103857680.9438338,23922442.821591113,315,8.238095238095237,3,9
354,Non-Food Items/ Event,24066184.01,240,100275.76670833334,25278.55275,3.325,-6.2445962,106.7840087,Kebayoran Lama,1,2024-01-01,2024-03-31,8139718.236271112,91,264463.5605494506,2.6373626373626373,13,224222057.606437,1103857680.9438338,23922442.821591113,315,8.238095238095237,3,10
354,Seafood,80479489.2,215,374323.20558139536,81117.6734883721,2.0930232558139537,-6.2445962,106.7840087,Kebayoran Lama,2,2024-01-01,2024-03-31,27219951.680533335,91,884389.9912087913,2.3626373626373627,8,196443091.25026214,1103857680.9438338,23922442.821591113,315,8.238095238095237,3,11
354,Tea and Beverages,6372124647.9,544,11713464.426286764,223392.96213235296,15.615808823529411,-6.2445962,106.7840087,Kebayoran Lama,3,2024-01-01,2024-03-31,2155194158.689733,91,70023347.77912088,5.978021978021978,16,3595615117.539385,1103857680.9438338,23922442.821591113,315,8.238095238095237,3,15
354,Thai Food,1069239749.49,890,1201392.9769550562,136695.31279775282,3.4269662921348316,-6.2445962,106.7840087,Kebayoran Lama,1,2024-01-01,2024-03-31,361640644.16084003,91,11749887.357032968,9.780219780219781,5,3344506441.9194603,1103857680.9438338,23922442.821591113,315,8.238095238095237,3,16
418,Bakery and Pastries,13919499.9874,364,38240.384580769234,13673.076915384616,1.8269230769230769,-6.23418852,106.79471049,Kebayoran Baru,2,2024-01-03,2024-03-30,4707884.217960623,88,158176.13622045456,4.136363636363637,2,401132093.56028366,6988304894.122244,173600655.97777778,487,9.043121149897331,2,1
418,Chinese Food,2044000.0077,77,26545.454645454545,12363.6364,1.7272727272727273,-6.23418852,106.79471049,Kebayoran Baru,2,2024-01-12,2024-03-30,691326.2248265333,79,25873.417818987342,0.9746835443037974,1,28516169069.689785,6988304894.122244,173600655.97777778,487,9.043121149897331,2,4
418,Coffee,295915899.9328,2289,129277.37000122324,43297.553510397556,1.8990825688073394,-6.23418852,106.79471049,Kebayoran Baru,1,2024-01-02,2024-03-28,100085333.26616035,87,3401332.183135632,26.310344827586206,1,66459652.0,6988304894.122244,173600655.97777778,487,9.043121149897331,2,5
418,Comfort Food,3392900.0035,147,23080.952404761905,11804.761914285715,1.4761904761904763,-6.23418852,106.79471049,Kebayoran Baru,1,2024-01-03,2024-03-22,1147554.1789615557,80,42411.25004375,1.8375,3,7562818035.458789,6988304894.122244,173600655.97777778,487,9.043121149897331,2,6
418,Non-Food Items/ Event,44100.0,7,6300.0,6300.0,1.0,-6.23418852,106.79471049,Kebayoran Baru,1,2024-01-12,2024-01-12,14915.6,1,44100.0,7.0,2,191492237.39257064,6988304894.122244,173600655.97777778,487,9.043121149897331,2,10
418,Seafood,8497999.9937,252,33722.22219722222,14749.999991666666,1.9166666666666667,-6.23418852,106.79471049,Kebayoran Baru,3,2024-01-03,2024-03-26,2874212.4423136446,84,101166.66659166667,3.0,2,2826825243.173601,6988304894.122244,173600655.97777778,487,9.043121149897331,2,11
418,Snacks and Appetizers,1391600.0028,63,22088.88893333333,12266.666688888889,1.6666666666666667,-6.23418852,106.79471049,Kebayoran Baru,3,2024-01-04,2024-03-30,470670.04539146664,87,15995.402331034482,0.7241379310344828,2,1897850289.1885202,6988304894.122244,173600655.97777778,487,9.043121149897331,2,13
418,Steaks and BBQ,11797100.0196,357,33045.098094117646,14323.529435294116,1.7647058823529411,-6.23418852,106.79471049,Kebayoran Baru,1,2024-01-03,2024-03-27,3990041.3844069336,85,138789.41199529413,4.2,2,2372546687.626333,6988304894.122244,173600655.97777778,487,9.043121149897331,2,14
418,Tea and Beverages,97610450.0182,1603,60892.35808995633,26602.401750218338,1.7117903930131004,-6.23418852,106.79471049,Kebayoran Baru,1,2024-01-03,2024-03-28,33014023.317266755,86,1135005.2327697673,18.63953488372093,3,21775269650.731197,6988304894.122244,173600655.97777778,487,9.043121149897331,2,15
418,Thai Food,1568000.0056,42,37333.33346666667,16000.00005,2.0,-6.23418852,106.79471049,Kebayoran Baru,2,2024-01-16,2024-03-05,530332.446338489,50,31360.000112,0.84,2,12585705938.41597,6988304894.122244,173600655.97777778,487,9.043121149897331,2,16
513,Alcoholic Beverages,2524964500.0,14,180354607.14285713,2605778.5714285714,33.07142857142857,-6.272359,106.8436954,Pasar Minggu,2,2024-02-06,2024-03-30,853999104.2222222,54,46758601.85185185,0.25925925925925924,1,561043.0222222223,106978943.89547437,12327475.471787468,115,1.2695652173913043,6,0
513,Bakery and Pastries,295601500.0,20,14780075.0,811987.5,8.85,-6.272359,106.8436954,Pasar Minggu,3,2024-01-01,2024-03-29,99978996.22222222,89,3321365.1685393257,0.2247191011235955,1,6848594.133333334,106978943.89547437,12327475.471787468,115,1.2695652173913043,6,1
513,Breakfast and Egg Dishes,8917216000.0,154,57904000.0,3906107.1428571427,5.564935064935065,-6.272359,106.8436954,Pasar Minggu,3,2024-01-08,2024-03-31,3016000611.555556,84,106157333.33333333,1.8333333333333333,2,1360532.711111111,106978943.89547437,12327475.471787468,115,1.2695652173913043,6,2
513,Cakes and Desserts,933454250.0,109,8563800.458715597,1735965.5963302753,3.5779816513761467,-6.272359,106.8436954,Pasar Minggu,2,2024-01-03,2024-03-31,315714970.7777778,89,10488250.0,1.2247191011235956,1,116077.86666666667,106978943.89547437,12327475.471787468,115,1.2695652173913043,6,3
513,Chinese Food,368000.0,1,368000.0,46000.0,8.0,-6.272359,106.8436954,Pasar Minggu,2,2024-02-07,2024-02-07,124465.77777777778,1,368000.0,1.0,0,0.0,106978943.89547437,12327475.471787468,115,1.2695652173913043,6,4
513,Coffee,144450.0,1,144450.0,144450.0,1.0,-6.272359,106.8436954,Pasar Minggu,2,2024-02-23,2024-02-23,48856.200000000004,1,144450.0,1.0,1,181336649.84355557,106978943.89547437,12327475.471787468,115,1.2695652173913043,6,5
513,Comfort Food,41295000.0,14,2949642.8571428573,991785.7142857143,1.7142857142857142,-6.272359,106.8436954,Pasar Minggu,2,2024-01-02,2024-03-29,13966886.666666668,88,469261.36363636365,0.1590909090909091,2,110562437.486,106978943.89547437,12327475.471787468,115,1.2695652173913043,6,6
513,Non-Food Items/ Event,613474100.0,81,7573754.320987654,563609.2592592592,4.37037037037037,-6.272359,106.8436954,Pasar Minggu,3,2024-01-01,2024-03-31,207490573.37777779,91,6741473.626373626,0.8901098901098901,2,125210610.75555556,106978943.89547437,12327475.471787468,115,1.2695652173913043,6,10
513,Seafood,20151250.0,10,2015125.0,2015125.0,1.0,-6.272359,106.8436954,Pasar Minggu,2,2024-01-12,2024-03-19,6815600.555555556,68,296341.9117647059,0.14705882352941177,1,34436046.851555556,106978943.89547437,12327475.471787468,115,1.2695652173913043,6,11
513,Set Meals and Combos,429445500.0,2,214722750.0,6712750.0,33.0,-6.272359,106.8436954,Pasar Minggu,3,2024-03-27,2024-03-31,145248011.33333334,5,85889100.0,0.4,1,16925151.392,106978943.89547437,12327475.471787468,115,1.2695652173913043,6,12
513,Snacks and Appetizers,96438950.0,18,5357719.444444444,1471452.7777777778,5.944444444444445,-6.272359,106.8436954,Pasar Minggu,2,2024-01-07,2024-03-30,32617795.97777778,84,1148082.738095238,0.21428571428571427,1,1982223.0364444444,106978943.89547437,12327475.471787468,115,1.2695652173913043,6,13
513,Steaks and BBQ,29175000.0,2,14587500.0,4237500.0,2.5,-6.272359,106.8436954,Pasar Minggu,2,2024-02-04,2024-02-05,9867633.333333334,2,14587500.0,1.0,2,27101842.045333333,106978943.89547437,12327475.471787468,115,1.2695652173913043,6,14
513,Tea and Beverages,825092055.0,197,4188284.543147208,918506.6243654822,2.50253807106599,-6.272359,106.8436954,Pasar Minggu,2,2024-01-02,2024-03-30,279064468.38,89,9270697.247191012,2.2134831460674156,2,223156775.2428889,106978943.89547437,12327475.471787468,115,1.2695652173913043,6,15
513,Thai Food,30703100.0,8,3837887.5,760162.5,3.625,-6.272359,106.8436954,Pasar Minggu,3,2024-03-11,2024-03-21,10384470.711111112,11,2791190.909090909,0.7272727272727273,2,683558166.0735556,106978943.89547437,12327475.471787468,115,1.2695652173913043,6,16
515,Alcoholic Beverages,28622350.0,132,216835.98484848486,115667.80303030302,1.5303030303030303,-6.25789844,106.81577597,Mampang Prapatan,1,2024-01-01,2024-03-29,9680714.822222222,89,321599.4382022472,1.4831460674157304,11,453009959.93386865,1263891997.88638,35430216.91333334,168,8.535714285714286,4,0
515,Bakery and Pastries,287619840.0,486,591810.3703703703,127030.57613168724,2.102880658436214,-6.25789844,106.81577597,Mampang Prapatan,1,2024-01-01,2024-03-31,97279421.44,91,3160657.5824175826,5.34065934065934,5,230332165.7337861,1263891997.88638,35430216.91333334,168,8.535714285714286,4,1
515,Breakfast and Egg Dishes,2179264350.0,122,17862822.540983606,2547284.0163934426,3.4754098360655736,-6.25789844,106.81577597,Mampang Prapatan,3,2024-01-08,2024-03-31,737075631.2666667,84,25943623.214285713,1.4523809523809523,5,406418245.0930203,1263891997.88638,35430216.91333334,168,8.535714285714286,4,2
515,Cakes and Desserts,175717992.0,172,1021616.2325581395,769694.7441860465,1.2325581395348837,-6.25789844,106.81577597,Mampang Prapatan,2,2024-01-05,2024-03-30,59431729.73866667,86,2043232.465116279,2.0,5,161290533.45224032,1263891997.88638,35430216.91333334,168,8.535714285714286,4,3
515,Coffee,436688042.0,788,554172.6421319797,100592.0,1.5964467005076142,-6.25789844,106.81577597,Mampang Prapatan,1,2024-01-01,2024-03-31,147697599.9831111,91,4798769.692307692,8.659340659340659,7,1574785198.3594792,1263891997.88638,35430216.91333334,168,8.535714285714286,4,5
515,Comfort Food,104704230.0,466,224687.1888412017,145817.76824034334,1.2746781115879828,-6.25789844,106.81577597,Mampang Prapatan,1,2024-01-01,2024-03-31,35413297.34666667,91,1150595.934065934,5.1208791208791204,10,237225824.84677306,1263891997.88638,35430216.91333334,168,8.535714285714286,4,6
515,Fried Food,8268600.0,28,295307.14285714284,147632.14285714287,1.4285714285714286,-6.25789844,106.81577597,Mampang Prapatan,1,2024-01-17,2024-03-24,2796624.2666666666,68,121597.05882352941,0.4117647058823529,4,2887434.8194444445,1263891997.88638,35430216.91333334,168,8.535714285714286,4,7
515,Indonesian Traditional Food,11782500.0,34,346544.1176470588,250220.58823529413,1.2352941176470589,-6.25789844,106.81577597,Mampang Prapatan,1,2024-01-05,2024-03-30,3985103.3333333335,86,137005.81395348837,0.3953488372093023,1,1195822.3323109334,1263891997.88638,35430216.91333334,168,8.535714285714286,4,8
515,Japanese Food,11268600.0,90,125206.66666666667,71836.66666666667,1.4666666666666666,-6.25789844,106.81577597,Mampang Prapatan,1,2024-01-01,2024-03-30,3811290.9333333336,90,125206.66666666667,1.0,9,944709351.7608457,1263891997.88638,35430216.91333334,168,8.535714285714286,4,9
515,Non-Food Items/ Event,49248420.0,380,129601.1052631579,61580.73684210526,2.068421052631579,-6.25789844,106.81577597,Mampang Prapatan,3,2024-01-02,2024-03-31,16656910.053333335,90,547204.6666666666,4.222222222222222,12,823532557.128568,1263891997.88638,35430216.91333334,168,8.535714285714286,4,10
515,Seafood,32246680.0,188,171524.89361702127,133033.67021276595,1.1595744680851063,-6.25789844,106.81577597,Mampang Prapatan,1,2024-01-01,2024-03-29,10906543.768888889,89,362322.2471910112,2.1123595505617976,10,1074570139.213383,1263891997.88638,35430216.91333334,168,8.535714285714286,4,11
515,Snacks and Appetizers,12730200.0,44,289322.7272727273,163504.54545454544,1.2272727272727273,-6.25789844,106.81577597,Mampang Prapatan,3,2024-01-01,2024-03-31,4305636.533333333,91,139892.3076923077,0.4835164835164835,12,622564193.4369563,1263891997.88638,35430216.91333334,168,8.535714285714286,4,13
515,Tea and Beverages,1366389315.0,4002,341426.61544227885,140615.0,1.7556221889055472,-6.25789844,106.81577597,Mampang Prapatan,1,2024-01-01,2024-03-31,462143230.54,91,15015267.197802197,43.97802197802198,13,3076476411.278838,1263891997.88638,35430216.91333334,168,8.535714285714286,4,15
515,Thai Food,24634435.0,182,135354.03846153847,81580.08241758242,1.4725274725274726,-6.25789844,106.81577597,Mampang Prapatan,1,2024-01-01,2024-03-30,8331913.348888889,90,273715.94444444444,2.022222222222222,8,3462733468.196621,1263891997.88638,35430216.91333334,168,8.535714285714286,4,16
516,Alcoholic Beverages,104573213.5,427,244902.1393442623,108952.95901639345,1.5737704918032787,-6.30724024,106.78145756,Cilandak,2,2024-01-03,2024-03-28,35368984.65488889,86,1215967.5988372094,4.965116279069767,0,0.0,4255930260.995516,57731658.44444445,269,3.1561338289962824,0,0
516,Bakery and Pastries,301450345.0,1197,251838.21637426902,83586.11111111111,2.280701754385965,-6.30724024,106.78145756,Cilandak,1,2024-01-01,2024-03-30,101957205.57555556,90,3349448.277777778,13.3,0,0.0,4255930260.995516,57731658.44444445,269,3.1561338289962824,0,1
516,Breakfast and Egg Dishes,299551000.0,126,2377388.888888889,1011194.4444444445,1.9444444444444444,-6.30724024,106.78145756,Cilandak,3,2024-01-01,2024-03-30,101314804.8888889,90,3328344.4444444445,1.4,0,0.0,4255930260.995516,57731658.44444445,269,3.1561338289962824,0,2
516,Cakes and Desserts,205451365.0,364,564426.8269230769,489395.6346153846,1.2115384615384615,-6.30724024,106.78145756,Cilandak,1,2024-01-01,2024-03-31,69488217.22888888,91,2257707.3076923075,4.0,0,0.0,4255930260.995516,57731658.44444445,269,3.1561338289962824,0,3
516,Coffee,423563301.0,2450,172882.98,85890.22285714286,1.417142857142857,-6.30724024,106.78145756,Cilandak,1,2024-01-01,2024-03-31,143258520.916,91,4654541.769230769,26.923076923076923,0,0.0,4255930260.995516,57731658.44444445,269,3.1561338289962824,0,5
516,Comfort Food,463245720.0,1519,304967.55760368664,151393.61751152074,1.368663594470046,-6.30724024,106.78145756,Cilandak,1,2024-01-01,2024-03-31,156679996.85333332,91,5090612.307692308,16.692307692307693,0,0.0,4255930260.995516,57731658.44444445,269,3.1561338289962824,0,6
516,Fried Food,41751150.0,84,497037.5,186537.5,1.5833333333333333,-6.30724024,106.78145756,Cilandak,2,2024-01-08,2024-03-23,14121166.733333334,76,549357.2368421053,1.105263157894737,0,0.0,4255930260.995516,57731658.44444445,269,3.1561338289962824,0,7
516,Indonesian Traditional Food,36705375.0,84,436968.75,269260.4166666667,1.3333333333333333,-6.30724024,106.78145756,Cilandak,1,2024-01-08,2024-03-30,12414573.5,83,442233.4337349398,1.0120481927710843,0,0.0,4255930260.995516,57731658.44444445,269,3.1561338289962824,0,8
516,Japanese Food,35939400.0,301,119400.0,60820.93023255814,1.4186046511627908,-6.30724024,106.78145756,Cilandak,1,2024-01-01,2024-03-29,12155503.733333334,89,403813.4831460674,3.3820224719101124,0,0.0,4255930260.995516,57731658.44444445,269,3.1561338289962824,0,9
516,Non-Food Items/ Event,39327680.0,623,63126.29213483146,37976.629213483146,1.4157303370786516,-6.30724024,106.78145756,Cilandak,3,2024-01-01,2024-03-31,13301495.324444445,91,432172.3076923077,6.846153846153846,0,0.0,4255930260.995516,57731658.44444445,269,3.1561338289962824,0,10
516,Seafood,93648450.0,448,209036.71875,136125.78125,1.265625,-6.30724024,106.78145756,Cilandak,2,2024-01-02,2024-03-31,31673986.866666667,90,1040538.3333333334,4.977777777777778,0,0.0,4255930260.995516,57731658.44444445,269,3.1561338289962824,0,11
516,Set Meals and Combos,2769200000.0,7,395600000.0,9890000.0,40.0,-6.30724024,106.78145756,Cilandak,2,2024-02-03,2024-02-03,936604977.7777778,1,2769200000.0,7.0,0,0.0,4255930260.995516,57731658.44444445,269,3.1561338289962824,0,12
516,Snacks and Appetizers,21873250.0,119,183808.82352941178,91191.17647058824,1.411764705882353,-6.30724024,106.78145756,Cilandak,3,2024-01-02,2024-03-29,7398019.222222222,88,248559.6590909091,1.3522727272727273,0,0.0,4255930260.995516,57731658.44444445,269,3.1561338289962824,0,13
516,Tea and Beverages,2582536250.0,10962,235589.87867177522,112787.10408684547,1.5964240102171137,-6.30724024,106.78145756,Cilandak,1,2024-01-01,2024-03-31,873471149.4444444,91,28379519.230769232,120.46153846153847,0,0.0,4255930260.995516,57731658.44444445,269,3.1561338289962824,0,15
516,Thai Food,48334720.0,385,125544.72727272728,79444.0,1.4,-6.30724024,106.78145756,Cilandak,1,2024-01-05,2024-03-31,16347876.40888889,87,555571.4942528736,4.425287356321839,0,0.0,4255930260.995516,57731658.44444445,269,3.1561338289962824,0,16
581,Alcoholic Beverages,97617140.467,763,127938.58514678899,57224.63825321101,1.761467889908257,-6.27960959,106.80720995,Cilandak,1,2024-01-01,2024-03-31,33016286.175727554,91,1072715.8293076921,8.384615384615385,5,6984463292.501333,4255930260.995516,57731658.44444445,269,3.1561338289962824,0,0
581,Bakery and Pastries,129776795.9775,490,264850.6040357143,39266.94448714286,5.857142857142857,-6.27960959,106.80720995,Cilandak,1,2024-01-01,2024-03-31,43893396.32839,91,1426118.6371153847,5.384615384615385,1,4135646.0444444446,4255930260.995516,57731658.44444445,269,3.1561338289962824,0,1
